,pubmed_id,title,abstract,target,title_clean,abstract_clean
0,33862466,High-mobility group box 2 protein is essential for the early phase of adipogenesis.,"Understanding of the mechanism of adipogenesis is essential for the control of obesity, which predisposes toward numerous health problems. High-mobility group box protein 2 (HMGB2) is a non-histone chromosomal protein that facilitates DNA replication, transcription, recombination, and repair. Here, we studied the role of HMGB2 in adipogenic differentiation. The expression of HMGB2 was measured at the mRNA and protein levels in cultured 3T3-L1 pre-adipocyte cells and during the process of adipogenic differentiation induced bya cocktail of insulin, 3-isobutyl-1-methylxanthine, and dexamethasone. This increased in the early phase and decreased in the late phase of differentiation. However, 3T3-L1 pre-adipocyte cells did not differentiate into adipocytes after the knockdown of HMGB2 expression by small interfering RNA (siRNA). Similarly, mesenchymal stem cells (MSCs) isolated from Hmgb2",obesity,highmobility group box protein essential early phase adipogenesis,understanding mechanism adipogenesis essential control obesity predisposes toward numerous health problem highmobility group box protein hmgb nonhistone chromosomal protein facilitates dna replication transcription recombination repair studied role hmgb adipogenic differentiation expression hmgb measured mrna protein level cultured tl preadipocyte cell process adipogenic differentiation induced bya cocktail insulin isobutylmethylxanthine dexamethasone increased early phase decreased late phase differentiation however tl preadipocyte cell differentiate adipocytes knockdown hmgb expression small interfering rna sirna similarly mesenchymal stem cell msc isolated hmgb
1,33862459,Gut microbial short-chain fatty acids-mediated olfactory receptor 78 stimulation promotes anorexigenic gut hormone peptide YY secretion in mice.,"Olfactory receptor 78 (Olfr78), which is also known as a receptor for short-chain fatty acids (SCFAs) produced via gut microbial fermentation from indigestible polysaccharides such as dietary fibers, is expressed in the enteroendocrine cells of the colon. However, the role of Olfr78 in gut hormone secretion remains unknown. Here, we aimed to investigate the function and mechanism of action of Olfr78 in vivo and in vitro. Toward this, we assessed the expression of Olfr78 in several tissues, affinity of Olfr78 to various monocarboxylates, and the secretion of anorexigenic gut hormone peptide YY (PYY) via Olfr78 using various molecular and biochemical techniques. Olfr78 was abundantly expressed in the colon and mouse enteroendocrine cell line STC-1 and showed specific affinity to SCFAs such as acetate and propionate, but not butyrate, in a monocarboxylate ligand screening assay using a heterologous expression system. Acetate promoted PYY secretion in STC-1 cells via Olfr78-protein kinase A signaling, whereas the effects were abolished by Olfr78 RNA interference. Colonic SCFAs production via oral administration of fructo-oligosaccharide significantly increased plasma PYY levels, whereas this effect was abolished in Olfr78-deficient and germ-free mice. These results suggested that the SCFA receptor Olfr78 is important for anti-obesity and anorexigenic effects of the gut microbiota and dietary fibers.",obesity,gut microbial shortchain fatty acidsmediated olfactory receptor stimulation promotes anorexigenic gut hormone peptide yy secretion mouse,olfactory receptor olfr also known receptor shortchain fatty acid scfas produced via gut microbial fermentation indigestible polysaccharide dietary fiber expressed enteroendocrine cell colon however role olfr gut hormone secretion remains unknown aimed investigate function mechanism action olfr vivo vitro toward assessed expression olfr several tissue affinity olfr various monocarboxylates secretion anorexigenic gut hormone peptide yy pyy via olfr using various molecular biochemical technique olfr abundantly expressed colon mouse enteroendocrine cell line stc showed specific affinity scfas acetate propionate butyrate monocarboxylate ligand screening assay using heterologous expression system acetate promoted pyy secretion stc cell via olfrprotein kinase signaling whereas effect abolished olfr rna interference colonic scfas production via oral administration fructooligosaccharide significantly increased plasma pyy level whereas effect abolished olfrdeficient germfree mouse result suggested scfa receptor olfr important antiobesity anorexigenic effect gut microbiota dietary fiber
2,33862414,Kidney cancer mortality disparities among Hispanics in the US.,"Kidney cancer incidence is increasing among Hispanics but rate differences by distinct group, such as Cuban, Puerto Rican, and Mexican have not been studied. To fill this knowledge gap, we use mortality data, reflecting fatal kidney cancers, to examine patterns by race-ethnicity, including detailed Hispanic groups, and correlate the mortality rates with each group's prevalence of known kidney cancer risk factors: smoking, obesity, hypertension, diabetes, and chronic kidney disease.
We used individual-level death data for California, Florida, and New York (2008-2018), and population prevalence data from the National Health Interview Surveys (2008-2018). Age-adjusted mortality rates (AAMRs) and regression-derived mortality rate ratios (MRRs) were computed. Pearson correlation analyses assessed the extent to which group-specific risk factor prevalence explained variability in observed AAMRs.
US-born Mexican Americans and American Indians had the highest rates and MRRs compared to Whites: 1.44 (95 %CI: 1.35-1.53) and 1.51 (1.38-1.64) for Mexican American men and women, respectively, and 1.54 (95 %CI: 1.25-1.89) and 1.53 (95 %CI: 1.15-2.04) for American Indians. In contrast, non-Mexican Hispanics had lower rates than Whites. Among males, positive correlations between AAMRs and smoking, obesity, and chronic kidney disease prevalence by race-ethnicity were found.
Mexican Americans and American Indians are high-risk for fatal kidney cancer. Disparities are only partially attributable to higher smoking and obesity prevalence, and more so among men than women. A shared risk factor profile, as well as possible genetic similarities, may explain their disproportionately higher kidney cancer mortality, but further research is warranted.",obesity,kidney cancer mortality disparity among hispanic u,kidney cancer incidence increasing among hispanic rate difference distinct group cuban puerto rican mexican studied fill knowledge gap use mortality data reflecting fatal kidney cancer examine pattern raceethnicity including detailed hispanic group correlate mortality rate group prevalence known kidney cancer risk factor smoking obesity hypertension diabetes chronic kidney disease used individuallevel death data california florida new york population prevalence data national health interview survey ageadjusted mortality rate aamrs regressionderived mortality rate ratio mrrs computed pearson correlation analysis assessed extent groupspecific risk factor prevalence explained variability observed aamrs usborn mexican american american indian highest rate mrrs compared white ci mexican american men woman respectively ci ci american indian contrast nonmexican hispanic lower rate white among male positive correlation aamrs smoking obesity chronic kidney disease prevalence raceethnicity found mexican american american indian highrisk fatal kidney cancer disparity partially attributable higher smoking obesity prevalence among men woman shared risk factor profile well possible genetic similarity may explain disproportionately higher kidney cancer mortality research warranted
3,33862377,Effects of locomotion task constraints on running in boys with overweight/obesity: The mediating role of developmental delays.,"Childhood obesity adversely affects the musculoskeletal system and is accompanied with motor development delays. Movement interventions that change the body composition and movement patterns is suggested as an effective way to minimise the childhood obesity adverse effects.
Whether a locomotion task constraints intervention is effective to change body composition, motor performance and running efficiency in overweight/obese boys with different levels of motor development.
Forty young boys (age: 8.21 ± 1.01 years) whose body mass index (BMI) was above the 85th normative ranked score were divided into 4 independent groups according to their development and BMI: intervention-typical, intervention-delay, control-typical and control-delay. A 6-week task constraints intervention with an emphasis on improving locomotion skills such as fast walking, running, jumping, hopping, skipping and leaping were carried out in the intervention group.
The pre and post-intervention difference score on the sample dependent variables showed decreases in body mass and BMI and improvements in agility, joint kinematics and running economy in the intervention-typical group relative to other groups.
The findings highlight that the boys with overweight/obesity and typical development can benefit more from a short-term developmentally-appropriate intervention to refine the running pattern and agility skill that was accompanied by positive changes in body composition.",obesity,effect locomotion task constraint running boy overweightobesity mediating role developmental delay,childhood obesity adversely affect musculoskeletal system accompanied motor development delay movement intervention change body composition movement pattern suggested effective way minimise childhood obesity adverse effect whether locomotion task constraint intervention effective change body composition motor performance running efficiency overweightobese boy different level motor development forty young boy age year whose body mass index bmi th normative ranked score divided independent group according development bmi interventiontypical interventiondelay controltypical controldelay week task constraint intervention emphasis improving locomotion skill fast walking running jumping hopping skipping leaping carried intervention group pre postintervention difference score sample dependent variable showed decrease body mass bmi improvement agility joint kinematics running economy interventiontypical group relative group finding highlight boy overweightobesity typical development benefit shortterm developmentallyappropriate intervention refine running pattern agility skill accompanied positive change body composition
4,33862325,Multimodal brain predictors of current weight and weight gain in children enrolled in the ABCD study ®.,"Multimodal neuroimaging assessments were utilized to identify generalizable brain correlates of current body mass index (BMI) and predictors of pathological weight gain (i.e., beyond normative development) one year later. Multimodal data from children enrolled in the Adolescent Brain Cognitive Development Study® at 9-to-10-years-old, consisted of structural magnetic resonance imaging (MRI), diffusion tensor imaging (DTI), resting state (rs), and three task-based functional (f) MRI scans assessing reward processing, inhibitory control, and working memory. Cross-validated elastic-net regression revealed widespread structural associations with BMI (e.g., cortical thickness, surface area, subcortical volume, and DTI), which explained 35% of the variance in the training set and generalized well to the test set (R",obesity,multimodal brain predictor current weight weight gain child enrolled abcd study,multimodal neuroimaging assessment utilized identify generalizable brain correlate current body mass index bmi predictor pathological weight gain ie beyond normative development one year later multimodal data child enrolled adolescent brain cognitive development study toyearsold consisted structural magnetic resonance imaging mri diffusion tensor imaging dti resting state r three taskbased functional f mri scan assessing reward processing inhibitory control working memory crossvalidated elasticnet regression revealed widespread structural association bmi eg cortical thickness surface area subcortical volume dti explained variance training set generalized well test set r
5,33862225,Maternal and perinatal risk factors for pediatric non-alcoholic fatty liver disease: A systematic review.,"Non-alcoholic fatty liver disease (NAFLD) has become the most common pediatric liver disease. The intrauterine and early life environment can have an important impact on the long-term metabolic health. We investigated the impact of maternal pre-pregnancy obesity, (pre)gestational diabetes, breastfeeding and birth anthropometrics/preterm birth on the development of NAFLD in children and adolescents.
A comprehensive search was performed in MEDLINE, PubMed Central, EMBASE, and grey literature databases through August 2020. The primary outcome was the prevalence of pediatric NAFLD, while the histological severity of steatohepatitis and/or fibrosis were secondary outcomes. Study selection, data extraction and quality assessment were performed by two independent reviewers.
Our systematic review included 33 papers. Study heterogeneity regarding patient populations, diagnostic tools and overall quality was considerable. Eight studies determined the impact of maternal pre-pregnancy overweight/obesity and identified this as a possible modifiable risk factor for pediatric NAFLD. Conversely, eight studies investigated (pre-)gestational diabetes, yet the evidence on its impact is conflicting. Breastfeeding was associated with a reduced risk for NAFLD, steatohepatitis and fibrosis, especially in studies that evaluated longer periods of breastfeeding. Being born preterm or small for gestational age has an unclear impact on the development of NAFLD, although an early catch-up growth might drive NAFLD.
In a systematic review, we found that maternal pre-pregnancy overweight and obesity were associated with an increased risk of pediatric NAFLD. Breastfeeding might be protective against the development of NAFLD when the duration of breastfeeding is sufficiently long (≥6 months).",obesity,maternal perinatal risk factor pediatric nonalcoholic fatty liver disease systematic review,nonalcoholic fatty liver disease nafld become common pediatric liver disease intrauterine early life environment important impact longterm metabolic health investigated impact maternal prepregnancy obesity pregestational diabetes breastfeeding birth anthropometricspreterm birth development nafld child adolescent comprehensive search performed medline pubmed central embase grey literature database august primary outcome prevalence pediatric nafld histological severity steatohepatitis andor fibrosis secondary outcome study selection data extraction quality assessment performed two independent reviewer systematic review included paper study heterogeneity regarding patient population diagnostic tool overall quality considerable eight study determined impact maternal prepregnancy overweightobesity identified possible modifiable risk factor pediatric nafld conversely eight study investigated pregestational diabetes yet evidence impact conflicting breastfeeding associated reduced risk nafld steatohepatitis fibrosis especially study evaluated longer period breastfeeding born preterm small gestational age unclear impact development nafld although early catchup growth might drive nafld systematic review found maternal prepregnancy overweight obesity associated increased risk pediatric nafld breastfeeding might protective development nafld duration breastfeeding sufficiently long month
6,33862221,AMPK signaling and its targeting in cancer progression and treatment.,"The intrinsic mechanisms sensing the imbalance of energy in cells are pivotal for cell survival under various environmental insults. AMP-activated protein kinase (AMPK) serves as a central guardian maintaining energy homeostasis by orchestrating diverse cellular processes, such as lipogenesis, glycolysis, TCA cycle, cell cycle progression and mitochondrial dynamics. Given that AMPK plays an essential role in the maintenance of energy balance and metabolism, managing AMPK activation is considered as a promising strategy for the treatment of metabolic disorders such as type 2 diabetes and obesity. Since AMPK has been attributed to aberrant activation of metabolic pathways, mitochondrial dynamics and functions, and epigenetic regulation, which are hallmarks of cancer, targeting AMPK may open up a new avenue for cancer therapies. Although AMPK is previously thought to be involved in tumor suppression, several recent studies have unraveled its tumor promoting activity. The double-edged sword characteristics for AMPK as a tumor suppressor or an oncogene are determined by distinct cellular contexts. In this review, we will summarize recent progress in dissecting the upstream regulators and downstream effectors for AMPK, discuss the distinct roles of AMPK in cancer regulation and finally offer potential strategies with AMPK targeting in cancer therapy.",obesity,ampk signaling targeting cancer progression treatment,intrinsic mechanism sensing imbalance energy cell pivotal cell survival various environmental insult ampactivated protein kinase ampk serf central guardian maintaining energy homeostasis orchestrating diverse cellular process lipogenesis glycolysis tca cycle cell cycle progression mitochondrial dynamic given ampk play essential role maintenance energy balance metabolism managing ampk activation considered promising strategy treatment metabolic disorder type diabetes obesity since ampk attributed aberrant activation metabolic pathway mitochondrial dynamic function epigenetic regulation hallmark cancer targeting ampk may open new avenue cancer therapy although ampk previously thought involved tumor suppression several recent study unraveled tumor promoting activity doubleedged sword characteristic ampk tumor suppressor oncogene determined distinct cellular context review summarize recent progress dissecting upstream regulator downstream effector ampk discus distinct role ampk cancer regulation finally offer potential strategy ampk targeting cancer therapy
7,33862146,"Association of metabolites with obesity based on two gene variants, MC4R and BDNF.","Previous genome-wide association analyses for obesity related genes demonstrated the association of BDNF variant rs6265 and MC4R gene variant rs17782313 with body mass index (BMI). However, the associated metabolite pathways are still behind the curtain. The aimed of current study is to investigate the associations of metabolic changes in obesity with MC4R gene variant rs17782313 and BDNF variant rs6265. Gas chromatography-mass spectrometry based untargeted metabolomics approach was used and 42 identified serum metabolites were selected for statistical analyses. Significant association of seven metabolites with MC4R gene variant rs17782313 based on obesity and thirty metabolites with obesity dependent BDNF variant rs6265 using additive model (adjusted p < 0.05) was observed. This study highlights the importance of alteration of fatty acid biosynthesis, probably due to high consumption of fats may cause to develop obesity. But obesity is a complex disorder and the full clarification of this complex machinery is still distant. To understand the obesity in a better way, it is required more studies to identify remaining metabolites and also mechanism of these metabolic entities.",obesity,association metabolite obesity based two gene variant mcr bdnf,previous genomewide association analysis obesity related gene demonstrated association bdnf variant r mcr gene variant r body mass index bmi however associated metabolite pathway still behind curtain aimed current study investigate association metabolic change obesity mcr gene variant r bdnf variant r gas chromatographymass spectrometry based untargeted metabolomics approach used identified serum metabolite selected statistical analysis significant association seven metabolite mcr gene variant r based obesity thirty metabolite obesity dependent bdnf variant r using additive model adjusted p observed study highlight importance alteration fatty acid biosynthesis probably due high consumption fat may cause develop obesity obesity complex disorder full clarification complex machinery still distant understand obesity better way required study identify remaining metabolite also mechanism metabolic entity
8,33862034,Metabolically healthy obesity increases the prevalence of stroke in adults aged 40 years or older: Result from the China National Stroke Screening survey.,"Debate over the cardio-cerebrovascular risk associated with metabolically healthy obesity (MHO) continues. In this study we investigated the association of MHO with the risk of stroke among 221,114 individuals aged 40 years or older based on data from the China National Stroke Screening and Prevention Project (CNSSPP), a nationally representative cross-sectional study, during 2014 to 2015. Different metabolic health and obesity phenotypes were defined according to the Adult Treatment Panel III (ATP III) criteria, where obesity was defined as a body mass index (BMI) ≥28 kg/m",obesity,metabolically healthy obesity increase prevalence stroke adult aged year older result china national stroke screening survey,debate cardiocerebrovascular risk associated metabolically healthy obesity mho continues study investigated association mho risk stroke among individual aged year older based data china national stroke screening prevention project cnsspp nationally representative crosssectional study different metabolic health obesity phenotype defined according adult treatment panel iii atp iii criterion obesity defined body mass index bmi kgm
9,33862029,Converging vulnerability factors for compulsive food and drug use.,"Highly palatable foods and substance of abuse have intersecting neurobiological, metabolic and behavioral effects relevant for understanding vulnerability to conditions related to food (e.g., obesity, binge eating disorder) and drug (e.g., substance use disorder) misuse. Here, we review data from animal models, clinical populations and epidemiological evidence in behavioral, genetic, pathophysiologic and therapeutic domains. Results suggest that consumption of highly palatable food and drugs of abuse both impact and conversely are regulated by metabolic hormones and metabolic status. Palatable foods high in fat and/or sugar can elicit adaptation in brain reward and withdrawal circuitry akin to substances of abuse. Intake of or withdrawal from palatable food can impact behavioral sensitivity to drugs of abuse and vice versa. A robust literature suggests common substrates and roles for negative reinforcement, negative affect, negative urgency, and impulse control deficits, with both highly palatable foods and substances of abuse. Candidate genetic risk loci shared by obesity and alcohol use disorders have been identified in molecules classically associated with both metabolic and motivational functions. Finally, certain drugs may have overlapping therapeutic potential to treat obesity, diabetes, binge-related eating disorders and substance use disorders. Taken together, data are consistent with the hypotheses that compulsive food and substance use share overlapping, interacting substrates at neurobiological and metabolic levels and that motivated behavior associated with feeding or substance use might constitute vulnerability factors for one another.",obesity,converging vulnerability factor compulsive food drug use,highly palatable food substance abuse intersecting neurobiological metabolic behavioral effect relevant understanding vulnerability condition related food eg obesity binge eating disorder drug eg substance use disorder misuse review data animal model clinical population epidemiological evidence behavioral genetic pathophysiologic therapeutic domain result suggest consumption highly palatable food drug abuse impact conversely regulated metabolic hormone metabolic status palatable food high fat andor sugar elicit adaptation brain reward withdrawal circuitry akin substance abuse intake withdrawal palatable food impact behavioral sensitivity drug abuse vice versa robust literature suggests common substrate role negative reinforcement negative affect negative urgency impulse control deficit highly palatable food substance abuse candidate genetic risk locus shared obesity alcohol use disorder identified molecule classically associated metabolic motivational function finally certain drug may overlapping therapeutic potential treat obesity diabetes bingerelated eating disorder substance use disorder taken together data consistent hypothesis compulsive food substance use share overlapping interacting substrate neurobiological metabolic level motivated behavior associated feeding substance use might constitute vulnerability factor one another
